Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2018-04-16,LTCBTC,0.01587,0.01603,0.01568,0.01595,4304.63,68.12
2018-04-15,LTCBTC,0.01577,0.01597,0.01571,0.01587,2923.05,46.2
2018-04-14,LTCBTC,0.01596,0.01596,0.01573,0.01577,2961.92,46.93
2018-04-13,LTCBTC,0.01633,0.01642,0.0159,0.01596,5900.95,95.14
2018-04-12,LTCBTC,0.01702,0.01716,0.01568,0.01633,14526.57,235.34
2018-04-11,LTCBTC,0.01671,0.01716,0.0165,0.01702,4867.06,81.37
2018-04-10,LTCBTC,0.01696,0.01701,0.01666,0.01671,3581.35,60.06
2018-04-09,LTCBTC,0.01679,0.01716,0.01669,0.01696,3502.43,59.5
2018-04-08,LTCBTC,0.01682,0.01686,0.01663,0.01679,2165.25,36.18
2018-04-07,LTCBTC,0.01706,0.01732,0.01672,0.01682,2091.28,35.6
2018-04-06,LTCBTC,0.01757,0.01757,0.01705,0.01706,2963.76,51.13
2018-04-05,LTCBTC,0.01743,0.01774,0.01719,0.01757,4666.69,81.75
2018-04-04,LTCBTC,0.01809,0.0182,0.0169,0.01743,8919.16,155.42
2018-04-03,LTCBTC,0.01687,0.01892,0.01664,0.01809,7728.78,134.57
2018-04-02,LTCBTC,0.01691,0.01717,0.01662,0.01687,4684.54,79.6
2018-04-01,LTCBTC,0.01673,0.01711,0.01662,0.01691,6045.65,101.73
2018-03-31,LTCBTC,0.01736,0.0175,0.01671,0.01673,4209.7,72.08
2018-03-30,LTCBTC,0.01615,0.01754,0.01614,0.01736,11888.2,201.45
2018-03-29,LTCBTC,0.01653,0.01666,0.01565,0.01615,13829.55,223.36
2018-03-28,LTCBTC,0.01735,0.01736,0.01648,0.01653,11328.78,192.02
2018-03-27,LTCBTC,0.01818,0.01825,0.01735,0.01735,9616.15,170.15
2018-03-26,LTCBTC,0.01893,0.01905,0.01775,0.01818,11074.0,202.9
2018-03-25,LTCBTC,0.01857,0.01904,0.01857,0.01893,2468.53,46.4
