Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
2019-02-21,XRPUSD,0.3293,0.33,0.3138,0.317,11158724.58,3549654.18
2019-02-20,XRPUSD,0.3212,0.3335,0.3165,0.3293,11741767.6,3818361.52
2019-02-19,XRPUSD,0.3195,0.346,0.318,0.3212,21906117.94,7256808.74
2019-02-18,XRPUSD,0.3,0.3285,0.2976,0.3195,22477104.28,7029221.16
2019-02-17,XRPUSD,0.298,0.3035,0.294,0.3,6020347.18,1798180.41
2019-02-16,XRPUSD,0.2989,0.3004,0.2972,0.298,3222022.63,963750.11
2019-02-15,XRPUSD,0.2978,0.3035,0.2937,0.2989,6351871.64,1892153.11
2019-02-14,XRPUSD,0.301,0.3023,0.2971,0.2978,4880256.56,1463988.95
2019-02-13,XRPUSD,0.3011,0.3094,0.2978,0.301,7845375.6,2373523.0
2019-02-12,XRPUSD,0.2987,0.304,0.2939,0.3011,8362374.22,2496880.63
2019-02-11,XRPUSD,0.3068,0.3074,0.2977,0.2987,5327991.23,1599552.15
2019-02-10,XRPUSD,0.309,0.309,0.296,0.3068,9175051.22,2763590.45
2019-02-09,XRPUSD,0.3082,0.3125,0.3043,0.309,8979591.55,2768870.15
2019-02-08,XRPUSD,0.2883,0.3199,0.2863,0.3082,18868470.56,5722065.7
2019-02-07,XRPUSD,0.2862,0.2905,0.2852,0.2883,5081270.15,1463808.59
2019-02-06,XRPUSD,0.2958,0.2973,0.285,0.2862,12239293.53,3545726.26
2019-02-05,XRPUSD,0.2948,0.2988,0.2928,0.2958,3803028.63,1121082.36
2019-02-04,XRPUSD,0.2984,0.3016,0.2938,0.2948,4413500.14,1314672.02
2019-02-03,XRPUSD,0.3068,0.309,0.294,0.2984,5059869.39,1524444.17
2019-02-02,XRPUSD,0.304,0.3111,0.3018,0.3068,4942766.66,1507799.83
2019-02-01,XRPUSD,0.3065,0.309,0.2932,0.304,10790164.63,3247379.84
2019-01-31,XRPUSD,0.3188,0.3338,0.3015,0.3065,15463606.74,4868500.46
2019-01-30,XRPUSD,0.2856,0.3239,0.2828,0.3188,20460157.21,6351791.3
2019-01-29,XRPUSD,0.2926,0.2942,0.2806,0.2856,7319767.81,2105846.29
2019-01-28,XRPUSD,0.305,0.3056,0.2773,0.2926,12208435.21,3542839.21
2019-01-27,XRPUSD,0.3116,0.3127,0.302,0.305,2450164.7,752449.1
2019-01-26,XRPUSD,0.3134,0.318,0.3111,0.3116,3462251.49,1088047.08
2019-01-25,XRPUSD,0.3152,0.317,0.3097,0.3134,4322112.76,1353359.91
2019-01-24,XRPUSD,0.3146,0.3184,0.3123,0.3152,3234852.16,1019640.04
2019-01-23,XRPUSD,0.318,0.3199,0.3125,0.3146,3973638.58,1256869.15
2019-01-22,XRPUSD,0.3179,0.3229,0.3046,0.318,5784626.14,1829601.2
2019-01-21,XRPUSD,0.3168,0.3218,0.3131,0.3179,2413185.02,765024.73
2019-01-20,XRPUSD,0.3284,0.33,0.31,0.3168,5959779.15,1899810.76
2019-01-19,XRPUSD,0.3214,0.3353,0.3209,0.3284,5641507.79,1853795.99
2019-01-18,XRPUSD,0.3269,0.3275,0.3174,0.3214,5299030.55,1705596.62
2019-01-17,XRPUSD,0.3279,0.3297,0.321,0.3269,4750410.53,1545264.86
2019-01-16,XRPUSD,0.3241,0.3342,0.3228,0.3279,6962051.14,2271733.53
2019-01-15,XRPUSD,0.332,0.335,0.3195,0.3241,7041270.65,2305513.02
2019-01-14,XRPUSD,0.3141,0.3386,0.3141,0.332,9248300.58,3035539.44
2019-01-13,XRPUSD,0.3284,0.332,0.311,0.3141,7116504.91,2261137.0
2019-01-12,XRPUSD,0.3291,0.3352,0.3245,0.3284,3062365.31,1007193.82
2019-01-11,XRPUSD,0.3279,0.3356,0.3224,0.3291,7587590.45,2502088.42
2019-01-10,XRPUSD,0.3678,0.3822,0.3168,0.3279,27518711.73,9504830.8
2019-01-09,XRPUSD,0.3641,0.3715,0.3589,0.3678,7095695.54,2593171.61
2019-01-08,XRPUSD,0.3628,0.371,0.358,0.3641,6855171.11,2487257.94
2019-01-07,XRPUSD,0.3649,0.376,0.358,0.3628,9177530.13,3369015.12
2019-01-06,XRPUSD,0.3511,0.369,0.347,0.3649,8546621.02,3078164.47
2019-01-05,XRPUSD,0.3563,0.3616,0.3472,0.3511,5273660.89,1875962.77
2019-01-04,XRPUSD,0.3542,0.3604,0.3461,0.3563,5283005.64,1868444.29
2019-01-03,XRPUSD,0.3716,0.3716,0.3492,0.3542,7812063.77,2811327.96
2019-01-02,XRPUSD,0.3632,0.3775,0.3563,0.3716,10137536.67,3704854.85
2019-01-01,XRPUSD,0.3478,0.3638,0.344,0.3632,8144384.01,2881626.88
2018-12-31,XRPUSD,0.3676,0.3728,0.3438,0.3478,9335400.52,3327225.28
2018-12-30,XRPUSD,0.3588,0.3691,0.3514,0.3676,7372145.32,2669919.82
2018-12-29,XRPUSD,0.3748,0.3837,0.356,0.3588,9812809.59,3644022.31
2018-12-28,XRPUSD,0.3358,0.3802,0.333,0.3748,13977316.78,5019875.19
2018-12-27,XRPUSD,0.3756,0.3769,0.3286,0.3358,10303277.81,3643118.47
2018-12-26,XRPUSD,0.3792,0.391,0.356,0.3756,10752595.25,4004569.49
2018-12-25,XRPUSD,0.4033,0.4056,0.3631,0.3792,16296559.14,6151636.36
2018-12-24,XRPUSD,0.3681,0.452,0.3681,0.4033,24322676.64,10120027.98
2018-12-23,XRPUSD,0.36,0.385,0.3577,0.3681,6621290.15,2433566.69
2018-12-22,XRPUSD,0.3543,0.3626,0.345,0.36,7883343.9,2777066.19
2018-12-21,XRPUSD,0.3747,0.3844,0.3493,0.3543,10642186.48,3881473.45
2018-12-20,XRPUSD,0.347,0.3888,0.3418,0.3747,14006499.33,5185153.78
2018-12-19,XRPUSD,0.3504,0.3943,0.341,0.347,20447671.65,7490939.25
2018-12-18,XRPUSD,0.3261,0.3504,0.3212,0.3504,10323258.83,3448865.54
2018-12-17,XRPUSD,0.2829,0.3366,0.2819,0.3261,14349333.76,4526312.96
2018-12-16,XRPUSD,0.2812,0.292,0.2812,0.2829,2190998.35,627752.72
2018-12-15,XRPUSD,0.2845,0.2876,0.2775,0.2812,5674089.01,1592724.1
2018-12-14,XRPUSD,0.2956,0.2961,0.28,0.2845,6965337.53,2003814.5
2018-12-13,XRPUSD,0.3036,0.3044,0.2923,0.2956,3714583.29,1108091.85
2018-12-12,XRPUSD,0.2962,0.3091,0.2947,0.3036,5088681.08,1536757.42
2018-12-11,XRPUSD,0.2971,0.3069,0.2915,0.2968,4137056.0,1226251.92
2018-12-10,XRPUSD,0.3083,0.312,0.2911,0.2971,6406100.35,1917696.82
2018-12-09,XRPUSD,0.301,0.3179,0.2964,0.3083,4801844.03,1468136.97
2018-12-08,XRPUSD,0.299,0.3194,0.2895,0.301,7214402.99,2192848.93
2018-12-07,XRPUSD,0.303,0.3102,0.286,0.299,14746841.2,4389186.57
2018-12-06,XRPUSD,0.332,0.3407,0.301,0.303,12224049.59,3951401.4
2018-12-05,XRPUSD,0.3479,0.3487,0.331,0.332,5082472.86,1722935.29
2018-12-04,XRPUSD,0.3429,0.3599,0.3338,0.3479,12414304.33,4321768.33
2018-12-03,XRPUSD,0.364,0.3647,0.3397,0.3429,10056208.88,3499128.55
2018-12-02,XRPUSD,0.3681,0.3753,0.3597,0.364,3906801.67,1427421.79
2018-12-01,XRPUSD,0.3587,0.375,0.3512,0.3681,3991484.25,1458578.6
2018-11-30,XRPUSD,0.3768,0.38,0.35,0.3575,6780360.09,2450842.25
2018-11-29,XRPUSD,0.3885,0.3919,0.367,0.3768,8446313.3,3197190.12
2018-11-28,XRPUSD,0.356,0.4011,0.3559,0.3885,13414535.35,5097633.59
2018-11-27,XRPUSD,0.3507,0.3658,0.3354,0.356,8813916.39,3068998.76
2018-11-26,XRPUSD,0.3681,0.3844,0.3303,0.3507,18935851.38,6745750.37
2018-11-25,XRPUSD,0.365,0.3832,0.3123,0.3681,24471135.08,8401677.32
2018-11-24,XRPUSD,0.4017,0.413,0.3545,0.365,14420833.39,5491926.31
2018-11-23,XRPUSD,0.4166,0.4231,0.3872,0.4017,15982872.28,6435506.56
2018-11-22,XRPUSD,0.4421,0.4445,0.4142,0.4166,6473379.08,2796219.57
2018-11-21,XRPUSD,0.4235,0.5,0.404,0.4421,16412372.49,7078168.34
