Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2018-05-11,DOGEBTC,5.3e-07,5.4e-07,5.0e-07,5.1e-07,1251053.03,0.6458
2018-05-10,DOGEBTC,5.3e-07,5.4e-07,5.2e-07,5.3e-07,880589.07,0.471
2018-05-09,DOGEBTC,5.8e-07,5.8e-07,5.2e-07,5.3e-07,1091624.7,0.5946
2018-05-08,DOGEBTC,5.4e-07,5.8e-07,5.1e-07,5.8e-07,863262.44,0.4795
2018-05-07,DOGEBTC,5.3e-07,5.4e-07,5.0e-07,5.4e-07,543954.41,0.2799
2018-05-06,DOGEBTC,5.5e-07,5.5e-07,5.1e-07,5.3e-07,490202.29,0.2569
2018-05-05,DOGEBTC,5.4e-07,5.6e-07,5.2e-07,5.5e-07,245477.73,0.1321
2018-05-04,DOGEBTC,5.9e-07,5.9e-07,5.3e-07,5.4e-07,710426.27,0.3912
2018-05-03,DOGEBTC,5.7e-07,6.1e-07,5.7e-07,5.9e-07,429907.09,0.2529
2018-05-02,DOGEBTC,5.5e-07,6.0e-07,5.5e-07,5.7e-07,228058.99,0.1323
2018-05-01,DOGEBTC,5.7e-07,5.9e-07,5.5e-07,5.5e-07,615046.17,0.3463
2018-04-30,DOGEBTC,5.9e-07,6.1e-07,5.6e-07,5.7e-07,754976.74,0.443
2018-04-29,DOGEBTC,5.9e-07,6.0e-07,5.7e-07,5.9e-07,182465.93,0.1066
2018-04-28,DOGEBTC,6.2e-07,6.2e-07,5.8e-07,5.9e-07,490359.15,0.2961
2018-04-27,DOGEBTC,5.9e-07,6.3e-07,5.9e-07,6.2e-07,443526.42,0.2735
2018-04-26,DOGEBTC,5.9e-07,6.4e-07,5.6e-07,5.9e-07,126700.38,0.07558
2018-04-25,DOGEBTC,6.1e-07,6.2e-07,5.6e-07,5.9e-07,622242.03,0.36
2018-04-24,DOGEBTC,6.3e-07,6.5e-07,6.0e-07,6.1e-07,1091556.44,0.6686
2018-04-23,DOGEBTC,6.4e-07,6.7e-07,6.2e-07,6.3e-07,509907.66,0.323
2018-04-22,DOGEBTC,6.3e-07,6.7e-07,6.0e-07,6.4e-07,295959.01,0.1887
2018-04-21,DOGEBTC,6.8e-07,6.8e-07,5.9e-07,6.3e-07,715789.78,0.4563
2018-04-20,DOGEBTC,7.1e-07,7.1e-07,6.5e-07,6.8e-07,499717.96,0.3423
2018-04-19,DOGEBTC,6.7e-07,7.2e-07,6.6e-07,7.1e-07,1269691.99,0.8756
2018-04-18,DOGEBTC,6.0e-07,6.9e-07,5.9e-07,6.7e-07,954882.13,0.6194
2018-04-17,DOGEBTC,5.7e-07,6.3e-07,5.6e-07,6.0e-07,581023.91,0.3413
2018-04-16,DOGEBTC,5.5e-07,5.9e-07,5.4e-07,5.7e-07,791370.22,0.4509
2018-04-15,DOGEBTC,5.2e-07,5.8e-07,5.1e-07,5.5e-07,692030.04,0.3688
2018-04-14,DOGEBTC,5.5e-07,5.5e-07,5.0e-07,5.2e-07,220796.17,0.1141
2018-04-13,DOGEBTC,4.8e-07,5.7e-07,4.7e-07,5.5e-07,909496.25,0.4726
2018-04-12,DOGEBTC,4.8e-07,5.3e-07,4.5e-07,4.8e-07,1810580.58,0.8682
2018-04-11,DOGEBTC,4.3e-07,5.4e-07,4.3e-07,4.8e-07,1954146.39,0.9275
2018-04-10,DOGEBTC,4.0e-07,4.5e-07,4.0e-07,4.3e-07,1182168.33,0.4917
