Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2016-07-13,ETHBTC,0.01563,0.01607,0.01557,0.01579,51769.71,819.84
2016-07-12,ETHBTC,0.01621,0.01657,0.0155,0.01563,93916.81,1505.16
2016-07-11,ETHBTC,0.01685,0.01689,0.01573,0.01621,115857.95,1877.62
2016-07-10,ETHBTC,0.01677,0.01709,0.0166,0.01685,46876.83,788.75
2016-07-09,ETHBTC,0.01696,0.0176,0.01642,0.01677,129298.78,2183.08
2016-07-08,ETHBTC,0.01581,0.01777,0.01553,0.01696,196340.52,3249.1
2016-07-07,ETHBTC,0.01547,0.01626,0.015,0.01581,184444.25,2894.33
2016-07-06,ETHBTC,0.01582,0.01656,0.01519,0.01547,256682.27,4077.71
2016-07-05,ETHBTC,0.01682,0.01692,0.01411,0.01582,532165.57,8061.83
2016-07-04,ETHBTC,0.01772,0.01791,0.01641,0.01682,123202.56,2101.2
2016-07-03,ETHBTC,0.01738,0.0182,0.01715,0.01772,88506.57,1563.39
2016-07-02,ETHBTC,0.01828,0.01828,0.01715,0.01738,85730.4,1495.65
2016-07-01,ETHBTC,0.01857,0.01862,0.01722,0.01828,201027.54,3593.61
2016-06-30,ETHBTC,0.01998,0.02003,0.01833,0.01857,215805.56,4087.5
2016-06-29,ETHBTC,0.01891,0.02049,0.01812,0.01998,262669.09,5045.67
2016-06-28,ETHBTC,0.02159,0.02165,0.01756,0.01891,416880.49,8056.77
2016-06-27,ETHBTC,0.02198,0.02223,0.02135,0.02159,68721.55,1494.59
2016-06-26,ETHBTC,0.0213,0.02324,0.0213,0.02198,124437.37,2743.03
2016-06-25,ETHBTC,0.02153,0.0219,0.0206,0.0213,107737.33,2283.71
2016-06-24,ETHBTC,0.0219,0.02205,0.0199,0.02153,298226.68,6277.93
2016-06-23,ETHBTC,0.02224,0.0238,0.02149,0.0219,277466.09,6176.83
2016-06-22,ETHBTC,0.01904,0.024,0.019,0.02224,1000339.44,21793.73
2016-06-21,ETHBTC,0.01599,0.01959,0.01595,0.01904,695824.29,12478.22
2016-06-20,ETHBTC,0.01616,0.0166,0.01369,0.01599,631422.04,9734.59
2016-06-19,ETHBTC,0.015,0.01762,0.01406,0.01616,733128.48,11896.21
2016-06-18,ETHBTC,0.0215,0.0215,0.01281,0.015,1652243.93,26370.97
2016-06-17,ETHBTC,0.02699,0.028,0.0164,0.0215,1775086.81,38183.22
2016-06-16,ETHBTC,0.02661,0.02721,0.02556,0.02699,184790.64,4891.43
2016-06-15,ETHBTC,0.02742,0.0277,0.02606,0.02661,96912.83,2592.55
