Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2018-07-19,LTCUSD,86.24,88.74,85,86.1,6411.33,556876.12
2018-07-18,LTCUSD,88.69,94.48,85.2,86.24,14254.14,1293232.59
2018-07-17,LTCUSD,83.95,90.23,81.35,88.69,12433.11,1080766.69
2018-07-16,LTCUSD,78.48,84.12,77.58,83.95,10133.38,831349.73
2018-07-15,LTCUSD,76.37,79.4,75.32,78.48,5070.04,389512.84
2018-07-14,LTCUSD,76.6,77.49,75.57,76.37,2161.65,165024.74
2018-07-13,LTCUSD,76.85,78.44,75.25,76.6,10603.94,815556.11
2018-07-12,LTCUSD,78.1,78.11,74.35,76.85,4321.69,327515.33
2018-07-11,LTCUSD,75.97,80.84,75.54,78.1,8438.67,654343.24
2018-07-10,LTCUSD,80.12,80.41,74.5,75.97,8767.99,677793.62
2018-07-09,LTCUSD,82.22,83.01,80.06,80.12,5087.51,415584.98
2018-07-08,LTCUSD,84.98,86.01,81.93,82.22,4711.42,396873.6
2018-07-07,LTCUSD,83.4,85.28,79.53,84.98,6692.54,547425.87
2018-07-06,LTCUSD,83.21,84.25,80.71,83.4,5453.53,449023.29
2018-07-05,LTCUSD,84.99,86.83,81.92,83.21,8263.92,697838.7
2018-07-04,LTCUSD,85,89.23,83.34,84.99,6206.76,532961.19
2018-07-03,LTCUSD,85.39,89.88,84.07,85,12067.07,1049082.79
2018-07-02,LTCUSD,79.85,86.74,78.42,85.39,8506.57,703489.42
2018-07-01,LTCUSD,81.06,81.44,77.82,79.85,3376.31,268167.96
2018-06-30,LTCUSD,78.96,84.07,78.96,81.06,9403.73,767722.14
2018-06-29,LTCUSD,74.11,80.67,72.58,78.96,13746.37,1042816.21
2018-06-28,LTCUSD,80.78,81.34,73.93,74.11,6631.84,514535.12
2018-06-27,LTCUSD,75.65,81.87,75,80.78,8419.3,664916.49
2018-06-26,LTCUSD,81.51,82.43,75.46,75.65,6833.79,542066.88
2018-06-25,LTCUSD,80.53,84.24,78.82,81.51,13902.02,1135498.28
2018-06-24,LTCUSD,82.9,83.74,73.33,80.53,19618.4,1543412.58
2018-06-23,LTCUSD,84.77,86.79,81.57,82.9,4435.8,371953.51
2018-06-22,LTCUSD,96.61,96.82,80.31,84.77,17733.65,1536828.93
2018-06-21,LTCUSD,97.99,99.27,96,96.61,3633.53,354393.94
2018-06-20,LTCUSD,98.61,98.94,95.24,97.99,4650.41,450205.68
2018-06-19,LTCUSD,98.78,101.52,96.98,98.61,6592.21,650823.09
2018-06-18,LTCUSD,94.93,99.92,93.11,98.78,9995.23,964651.22
2018-06-17,LTCUSD,97.26,97.98,94.55,94.93,3442.86,332690.98
2018-06-16,LTCUSD,95.45,97.41,92.79,97.26,7682.78,737125.53
2018-06-15,LTCUSD,100.89,100.91,94.76,95.45,7811.77,764297.46
2018-06-14,LTCUSD,93.74,102.88,92.56,100.89,11514.43,1123661.69
2018-06-13,LTCUSD,99.94,100.1,88.69,93.74,21885.11,2044163.77
2018-06-12,LTCUSD,107.07,108,97.46,99.94,13852.74,1414132.58
2018-06-11,LTCUSD,106.35,108.5,103,107.07,16892.39,1783599.8
2018-06-10,LTCUSD,117.29,117.29,102.87,106.35,25975.18,2820383.96
2018-06-09,LTCUSD,119.94,120.81,116.41,117.29,4817.34,572532.65
2018-06-08,LTCUSD,121.27,122.06,118.27,119.94,3744.32,448003.75
2018-06-07,LTCUSD,121.34,123.38,119.16,121.27,5985.68,726957.76
2018-06-06,LTCUSD,122,122.73,118.33,121.34,6102.14,738427.89
2018-06-05,LTCUSD,119.66,122.33,116.02,122,7897.95,940385.28
2018-06-04,LTCUSD,125.2,126.77,118,119.66,8742.21,1056882.81
2018-06-03,LTCUSD,123.33,127.9,122.21,125.2,9749.57,1227485.92
2018-06-02,LTCUSD,119.76,124.52,118.62,123.33,7805.58,952894.53
2018-06-01,LTCUSD,118.18,120.25,116.68,119.76,6530.34,774954.51
2018-05-31,LTCUSD,117.2,120.99,116.12,118.18,6031.79,717430.13
2018-05-30,LTCUSD,119.27,122.63,114.98,117.2,10163.6,1200406.24
2018-05-29,LTCUSD,111.11,122.7,109.35,119.27,11819.54,1383415.95
2018-05-28,LTCUSD,117.71,119.06,110.22,111.11,13726.9,1559587.06
2018-05-27,LTCUSD,118.2,118.67,116.28,117.71,3999.62,468663.03
2018-05-26,LTCUSD,119,122.38,117.46,118.2,2284.81,274693.64
2018-05-25,LTCUSD,122.65,124.21,117.01,119,6023.22,722319.85
2018-05-24,LTCUSD,118.61,124.65,114.94,122.65,9236.97,1106424.59
2018-05-23,LTCUSD,128.24,129.17,116.12,118.61,15596.3,1895299.15
2018-05-22,LTCUSD,134.18,136.08,126.94,128.24,5025.12,661445.38
2018-05-21,LTCUSD,140.1,140.1,133.27,134.18,4762.87,648042.92
2018-05-20,LTCUSD,135.11,141.01,132.5,140.1,7093.14,984508.09
2018-05-19,LTCUSD,135.97,137.73,133.1,135.11,4071.78,551489.57
2018-05-18,LTCUSD,132.08,137.71,128.89,135.97,14573.83,1930395.03
2018-05-17,LTCUSD,139.2,141.32,131.37,132.08,10613.48,1450341.89
2018-05-16,LTCUSD,139.19,140.81,134.34,139.2,10913.35,1497873.13
2018-05-15,LTCUSD,147.45,149.61,137.51,139.19,9940.55,1424813.09
2018-05-14,LTCUSD,144.31,153.12,134.64,147.45,27717.21,4043019.8
2018-05-13,LTCUSD,141.47,146.76,136.42,144.31,8157.66,1159797.3
2018-05-12,LTCUSD,135.86,144.46,131.3,141.47,12569.27,1743952.01
2018-05-11,LTCUSD,148.18,148.41,133.2,135.86,28250.97,3997454.76
2018-05-10,LTCUSD,156.45,160.49,147.67,148.18,10149.47,1562586.39
2018-05-09,LTCUSD,158.8,160.22,150.98,156.45,12365.24,1926293.31
2018-05-08,LTCUSD,164.43,168.46,156.9,158.8,20298.2,3256953.04
2018-05-07,LTCUSD,171.56,171.7,157.55,164.43,29249.19,4793674.19
2018-05-06,LTCUSD,177.56,183.57,165.05,171.56,19335.14,3318911.78
2018-05-05,LTCUSD,169,183.01,167.85,177.56,25392.51,4455114.79
2018-05-04,LTCUSD,161.39,171.84,157.97,169,25599.32,4166969.7
2018-05-03,LTCUSD,151.5,164.89,150.43,161.39,26010.36,4117082.42
2018-05-02,LTCUSD,148.34,153.94,146.18,151.5,9189.76,1366746.53
2018-05-01,LTCUSD,148.38,148.87,143.22,148.34,23171.55,3364339.21
2018-04-30,LTCUSD,153.44,154.49,146.82,148.38,10963.31,1647669.25
2018-04-29,LTCUSD,151.62,156.19,147.94,153.44,11984.23,1824847.72
2018-04-28,LTCUSD,146.02,153.5,145,151.62,18574.93,2788948.17
2018-04-27,LTCUSD,153.3,153.83,145.03,146.02,14445.38,2167961.03
2018-04-26,LTCUSD,144.63,154.48,141.96,153.3,12963.57,1895397.23
2018-04-25,LTCUSD,165.27,165.27,142.66,144.63,46810.55,7076659.93
2018-04-24,LTCUSD,152.59,166.21,152.59,165.27,28940.94,4679650.84
2018-04-23,LTCUSD,146.72,153.86,146.64,152.59,12714.31,1924105.28
2018-04-22,LTCUSD,148.97,153.75,144.99,146.72,13930.68,2084070.97
2018-04-21,LTCUSD,155.55,157.05,141.4,148.97,21867.48,3262644.21
2018-04-20,LTCUSD,146.53,156.6,143.25,155.55,29393.62,4408750.8
2018-04-19,LTCUSD,140.21,147.63,138.82,146.53,14437.78,2056446.97
2018-04-18,LTCUSD,132.59,141.63,131.91,140.21,15679.12,2149007.21
2018-04-17,LTCUSD,128.78,140.12,128.73,132.59,25242.02,3411457.79
2018-04-16,LTCUSD,132.84,133.29,125.15,128.78,15778.83,2015262.81
2018-04-15,LTCUSD,126.13,134.68,126.13,132.84,14417.62,1888261.05
2018-04-14,LTCUSD,125.21,130,124.58,126.13,11285.7,1433474.14
2018-04-13,LTCUSD,129.9,133.73,124,125.21,33605.5,4338426.47
2018-04-12,LTCUSD,117.97,130.89,113.12,129.9,41789.68,5069007.16
2018-04-11,LTCUSD,113.96,119.76,113.1,117.97,10230.58,1179322.48
2018-04-10,LTCUSD,114.85,115.04,111.55,113.96,7550.53,855728.01
2018-04-09,LTCUSD,117.75,122.78,112.69,114.85,17769.29,2075710.06
2018-04-08,LTCUSD,115.97,118.37,114.95,117.75,7906.01,922843.53
2018-04-07,LTCUSD,112.79,119.85,112.69,115.97,13624.46,1599757.28
2018-04-06,LTCUSD,118.39,120.11,111.63,112.79,16532.94,1884112.07
2018-04-05,LTCUSD,118.29,122,113.15,118.39,21441.77,2535330.12
2018-04-04,LTCUSD,133.87,134.64,115.07,118.29,33020.11,4040560.56
2018-04-03,LTCUSD,118.89,159.65,117.99,133.87,32880.49,4219848.39
2018-04-02,LTCUSD,115,122,114.25,118.89,20008.33,2387800.09
2018-04-01,LTCUSD,115.84,117.59,109.33,115,17292.63,1954119.17
2018-03-31,LTCUSD,118.07,124.41,115.17,115.84,16711.09,2002644.79
2018-03-30,LTCUSD,114.4,125.94,109,118.07,32879.69,3837519.72
2018-03-29,LTCUSD,131.54,132.35,112.02,114.4,54555.97,6532065.72
2018-03-28,LTCUSD,134.62,139.64,130.11,131.54,19283.44,2586430.4
2018-03-27,LTCUSD,148.1,149.32,134.62,134.62,33828.37,4752438.19
2018-03-26,LTCUSD,160.17,160.7,141.7,148.1,30355.65,4510867.48
2018-03-25,LTCUSD,158.29,162.92,157.13,160.17,7333.71,1171249.15
2018-03-24,LTCUSD,168.82,169.8,158.29,158.29,9777.33,1610205.23
2018-03-23,LTCUSD,163.34,168.82,156.67,168.82,14089.8,2263849.51
2018-03-22,LTCUSD,168.67,172.34,159.49,163.34,17496.95,2892217.83
2018-03-21,LTCUSD,168.73,175.17,165.45,168.67,22325.92,3815180.23
2018-03-20,LTCUSD,161.23,173.37,155.31,168.73,24261.21,3978213.29
2018-03-19,LTCUSD,153.24,163.81,150.62,161.23,23919.13,3750479.06
2018-03-18,LTCUSD,152.24,156.8,137.01,153.24,42569.56,6184326.54
2018-03-17,LTCUSD,164.65,165.35,150.4,152.24,19835.85,3135116.97
2018-03-16,LTCUSD,163.48,171.72,157.82,164.65,16169.0,2663348.26
2018-03-15,LTCUSD,160.24,167.35,150,163.48,31169.61,4959723.5
2018-03-14,LTCUSD,175.35,177.72,156.18,160.24,25114.02,4134222.55
2018-03-13,LTCUSD,177.68,182,171,175.35,18474.5,3248851.74
2018-03-12,LTCUSD,188.36,193,173.81,177.68,23045.87,4213649.97
2018-03-11,LTCUSD,176.47,193.81,170.6,188.36,37137.0,6773677.2
