Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
2019-05-19,XRPBTC,5.12e-05,5.285e-05,4.903e-05,5.11e-05,11567191.49,588.02
2019-05-18,XRPBTC,5.285e-05,5.324e-05,5.059e-05,5.12e-05,8084626.84,415.86
2019-05-17,XRPBTC,5.324e-05,5.376e-05,5.023e-05,5.285e-05,13629858.96,713.76
2019-05-16,XRPBTC,5.593e-05,5.775e-05,5.033e-05,5.324e-05,19327840.65,1048.83
2019-05-15,XRPBTC,5.111e-05,5.718e-05,5.047e-05,5.593e-05,16241204.58,877.63
2019-05-14,XRPBTC,4.15e-05,5.227e-05,4.079e-05,5.111e-05,36843540.21,1783.14
2019-05-13,XRPBTC,4.442e-05,4.651e-05,3.972e-05,4.15e-05,17818565.97,755.61
2019-05-12,XRPBTC,4.467e-05,4.517e-05,4.239e-05,4.442e-05,7353342.75,322.86
2019-05-11,XRPBTC,4.681e-05,4.828e-05,4.303e-05,4.467e-05,13579103.11,622.79
2019-05-10,XRPBTC,4.768e-05,4.83e-05,4.605e-05,4.681e-05,6333738.17,297.71
2019-05-09,XRPBTC,5.005e-05,5.005e-05,4.715e-05,4.768e-05,7787379.85,378.8
2019-05-08,XRPBTC,5.095e-05,5.132e-05,5.0e-05,5.005e-05,2018881.8,102.08
2019-05-07,XRPBTC,5.266e-05,5.281e-05,5.082e-05,5.097e-05,1564396.05,80.34
2019-05-06,XRPBTC,5.199e-05,5.341e-05,5.105e-05,5.266e-05,2783253.04,146.03
2019-05-05,XRPBTC,5.191e-05,5.25e-05,5.134e-05,5.199e-05,1888092.32,98.15
2019-05-04,XRPBTC,5.331e-05,5.4e-05,5.138e-05,5.191e-05,4129149.22,217.55
2019-05-03,XRPBTC,5.493e-05,5.519e-05,5.182e-05,5.331e-05,4523752.73,242.23
2019-05-02,XRPBTC,5.624e-05,5.635e-05,5.451e-05,5.493e-05,5538046.19,306.17
2019-05-01,XRPBTC,5.791e-05,5.806e-05,5.61e-05,5.624e-05,2127004.79,120.79
2019-04-30,XRPBTC,5.589e-05,5.944e-05,5.58e-05,5.791e-05,4950402.88,286.54
2019-04-29,XRPBTC,5.634e-05,5.665e-05,5.56e-05,5.589e-05,3418819.78,191.65
2019-04-28,XRPBTC,5.648e-05,5.677e-05,5.591e-05,5.634e-05,1674958.6,94.39
2019-04-27,XRPBTC,5.715e-05,5.735e-05,5.579e-05,5.648e-05,1486877.32,84.09
2019-04-26,XRPBTC,5.589e-05,5.729e-05,5.525e-05,5.715e-05,3766149.73,211.62
2019-04-25,XRPBTC,5.529e-05,7.0e-05,5.477e-05,5.589e-05,11893821.92,673.0
2019-04-24,XRPBTC,5.788e-05,5.792e-05,5.35e-05,5.529e-05,8947334.86,491.61
2019-04-23,XRPBTC,6.021e-05,6.033e-05,5.716e-05,5.788e-05,5629229.09,329.3
2019-04-22,XRPBTC,6.072e-05,6.299e-05,5.969e-05,6.021e-05,5740665.43,348.97
2019-04-21,XRPBTC,6.178e-05,6.184e-05,6.018e-05,6.072e-05,1967666.18,119.72
2019-04-20,XRPBTC,6.27e-05,6.275e-05,6.123e-05,6.178e-05,1263379.63,78.3
2019-04-19,XRPBTC,6.37e-05,6.37e-05,6.25e-05,6.27e-05,1402176.57,88.37
2019-04-18,XRPBTC,6.412e-05,6.575e-05,6.351e-05,6.37e-05,2921840.47,188.38
2019-04-17,XRPBTC,6.262e-05,6.543e-05,6.166e-05,6.412e-05,4307138.84,274.71
2019-04-16,XRPBTC,6.344e-05,6.35e-05,6.18e-05,6.262e-05,2028661.47,127.1
2019-04-15,XRPBTC,6.39e-05,6.429e-05,6.259e-05,6.344e-05,3098369.1,195.99
2019-04-14,XRPBTC,6.427e-05,6.51e-05,6.335e-05,6.39e-05,1302006.2,83.49
2019-04-13,XRPBTC,6.402e-05,6.597e-05,6.38e-05,6.427e-05,1986337.33,128.13
2019-04-12,XRPBTC,6.521e-05,6.543e-05,6.382e-05,6.402e-05,2554374.48,164.99
2019-04-11,XRPBTC,6.659e-05,6.659e-05,6.262e-05,6.521e-05,4234958.68,273.39
2019-04-10,XRPBTC,6.74e-05,6.883e-05,6.541e-05,6.659e-05,3547417.23,237.68
2019-04-09,XRPBTC,6.787e-05,6.823e-05,6.717e-05,6.74e-05,2042389.63,137.99
2019-04-08,XRPBTC,6.985e-05,7.055e-05,6.779e-05,6.787e-05,3594712.5,246.99
2019-04-07,XRPBTC,6.989e-05,7.225e-05,6.935e-05,6.985e-05,3157857.96,221.64
2019-04-06,XRPBTC,7.219e-05,7.22e-05,6.905e-05,6.989e-05,5472332.32,386.2
2019-04-05,XRPBTC,6.741e-05,7.6e-05,6.702e-05,7.219e-05,13126971.9,960.95
2019-04-04,XRPBTC,6.897e-05,6.909e-05,6.631e-05,6.741e-05,5391366.8,366.2
2019-04-03,XRPBTC,7.215e-05,7.4e-05,6.755e-05,6.897e-05,8876472.67,630.55
2019-04-02,XRPBTC,7.543e-05,7.646e-05,6.672e-05,7.215e-05,14516381.99,1027.89
2019-04-01,XRPBTC,7.521e-05,7.597e-05,7.483e-05,7.543e-05,1967348.83,148.16
2019-03-19,XRPBTC,7.886e-05,7.891e-05,7.857e-05,7.86e-05,137526.35,10.82
2019-03-18,XRPBTC,7.911e-05,7.944e-05,7.802e-05,7.886e-05,2307641.96,181.97
2019-03-17,XRPBTC,7.95e-05,7.962e-05,7.911e-05,7.911e-05,1182010.89,93.77
2019-03-16,XRPBTC,8.02e-05,8.111e-05,7.892e-05,7.95e-05,4089092.79,326.47
2019-03-15,XRPBTC,8.024e-05,8.066e-05,8.0e-05,8.02e-05,1894430.31,151.9
2019-03-14,XRPBTC,8.11e-05,8.159e-05,8.0e-05,8.024e-05,1892768.09,152.51
2019-03-13,XRPBTC,7.997e-05,8.375e-05,7.99e-05,8.11e-05,3705348.07,302.5
2019-03-12,XRPBTC,8.003e-05,8.054e-05,7.972e-05,7.997e-05,2909002.28,232.9
2019-03-11,XRPBTC,7.996e-05,8.072e-05,7.952e-05,8.003e-05,1836813.61,147.12
2019-03-10,XRPBTC,7.959e-05,8.096e-05,7.935e-05,7.996e-05,1444441.39,115.82
2019-03-09,XRPBTC,7.971e-05,8.162e-05,7.929e-05,7.959e-05,1479262.03,118.73
2019-03-08,XRPBTC,8.075e-05,8.079e-05,7.953e-05,7.971e-05,1608710.57,128.83
2019-03-07,XRPBTC,8.185e-05,8.204e-05,8.061e-05,8.075e-05,1627176.12,131.93
2019-03-06,XRPBTC,8.158e-05,8.3e-05,8.048e-05,8.185e-05,3171211.46,259.01
2019-03-05,XRPBTC,8.13e-05,8.235e-05,8.112e-05,8.158e-05,1055650.85,86.32
2019-03-04,XRPBTC,8.165e-05,8.19e-05,8.057e-05,8.13e-05,1720676.04,139.8
2019-03-03,XRPBTC,8.206e-05,8.231e-05,8.123e-05,8.165e-05,1103023.42,90.17
2019-03-02,XRPBTC,8.258e-05,8.3e-05,8.159e-05,8.206e-05,977490.92,80.4
2019-03-01,XRPBTC,8.222e-05,8.413e-05,8.164e-05,8.258e-05,2455513.73,204.38
2019-02-28,XRPBTC,8.131e-05,8.28e-05,8.07e-05,8.222e-05,2040334.52,166.58
2019-02-27,XRPBTC,8.311e-05,8.32e-05,8.104e-05,8.131e-05,2615899.87,215.14
2019-02-26,XRPBTC,8.548e-05,8.717e-05,8.27e-05,8.311e-05,5256939.35,442.23
2019-02-25,XRPBTC,7.948e-05,8.765e-05,7.895e-05,8.548e-05,9125435.09,772.23
2019-02-24,XRPBTC,8.064e-05,8.285e-05,7.881e-05,7.948e-05,5013436.28,401.65
2019-02-23,XRPBTC,8.098e-05,8.135e-05,7.94e-05,8.064e-05,1609586.45,129.47
2019-02-22,XRPBTC,8.138e-05,8.15e-05,8.025e-05,8.097e-05,1649533.77,133.46
2019-02-21,XRPBTC,8.342e-05,8.363e-05,8.018e-05,8.138e-05,2395645.6,195.74
2019-02-20,XRPBTC,8.272e-05,8.423e-05,8.179e-05,8.342e-05,3035476.29,251.49
2019-02-19,XRPBTC,8.264e-05,8.851e-05,8.238e-05,8.272e-05,6179245.25,525.63
2019-02-18,XRPBTC,8.269e-05,8.444e-05,8.2e-05,8.264e-05,3861779.35,320.9
2019-02-17,XRPBTC,8.314e-05,8.341e-05,8.235e-05,8.269e-05,881217.63,73.09
2019-02-16,XRPBTC,8.368e-05,8.376e-05,8.3e-05,8.314e-05,418553.76,34.86
2019-02-15,XRPBTC,8.376e-05,8.414e-05,8.312e-05,8.368e-05,1203878.18,100.59
2019-02-14,XRPBTC,8.417e-05,8.46e-05,8.361e-05,8.376e-05,912953.49,76.71
2019-02-13,XRPBTC,8.397e-05,8.599e-05,8.342e-05,8.417e-05,2098383.47,176.87
2019-02-12,XRPBTC,8.329e-05,8.465e-05,8.269e-05,8.397e-05,4531109.54,377.96
2019-02-11,XRPBTC,8.403e-05,8.444e-05,8.307e-05,8.329e-05,1248435.91,104.27
2019-02-10,XRPBTC,8.525e-05,8.53e-05,8.242e-05,8.403e-05,2410988.52,200.98
