Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USD
2018-09-29,XMRUSD,116.66,117.44,112.01,114.08,901.5,103005.64
2018-09-28,XMRUSD,119.64,122.5,115.05,116.66,1273.12,151115.92
2018-09-27,XMRUSD,115.38,122.23,113,119.64,3036.44,362590.94
2018-09-26,XMRUSD,115.84,117.53,112.18,115.38,1009.84,116061.55
2018-09-25,XMRUSD,115.12,115.93,110.78,115.84,1450.82,164396.51
2018-09-24,XMRUSD,122.52,123.32,114.11,115.12,1896.83,224940.45
2018-09-23,XMRUSD,122.13,128.18,120.5,122.52,2183.25,269708.76
2018-09-22,XMRUSD,123.69,125.62,118.7,122.13,2585.78,313155.8
2018-09-21,XMRUSD,116.35,124.9,115.38,123.69,2585.49,311450.43
2018-09-20,XMRUSD,108.89,116.35,108.89,116.35,2196.27,246674.03
2018-09-19,XMRUSD,111.9,112.77,104.53,108.89,3151.38,340855.43
2018-09-18,XMRUSD,105.85,113.81,103.6,111.9,2841.82,312347.03
2018-09-17,XMRUSD,116.17,120,105.85,105.85,3839.07,435262.64
2018-09-16,XMRUSD,118.5,119.14,113.41,116.17,1197.38,139204.69
2018-09-15,XMRUSD,116.51,122.13,116.5,118.5,1985.43,235859.28
2018-09-14,XMRUSD,111.31,117.46,109,116.51,2421.07,274754.97
2018-09-13,XMRUSD,104.76,116.23,104.02,111.31,4259.39,470983.04
2018-09-12,XMRUSD,104.96,105.51,96.59,104.76,4041.13,402271.72
2018-09-11,XMRUSD,104.6,109,101,104.96,1529.71,160741.86
2018-09-10,XMRUSD,105.24,108.94,103.53,104.6,1208.1,127896.5
2018-09-09,XMRUSD,104.03,110.9,100.76,105.24,2541.58,268623.14
2018-09-08,XMRUSD,111.55,114.2,101.19,104.03,2663.78,283393.02
2018-09-07,XMRUSD,117.42,120,109.85,111.55,3626.27,417707.05
2018-09-06,XMRUSD,113.86,118.5,108.29,117.42,3997.55,450582.57
2018-09-05,XMRUSD,137.56,140.11,113.32,113.86,8031.05,1004224.69
2018-09-04,XMRUSD,136,140.12,134.37,137.56,5717.25,787108.82
2018-09-03,XMRUSD,120,136.3,119,136,4052.81,529223.62
2018-09-02,XMRUSD,120.4,125.38,116.43,120,3654.02,442478.38
2018-09-01,XMRUSD,116.3,124.53,115.69,120.4,9972.4,1212473.74
2018-08-31,XMRUSD,103.02,119,102.61,116.3,10084.65,1125017.86
2018-08-30,XMRUSD,103.12,106.75,97,103.02,1932.4,193807.95
2018-08-29,XMRUSD,107.51,108.54,100.52,103.12,1813.84,188557.62
2018-08-28,XMRUSD,105.06,108,102,107.51,1518.16,160087.26
2018-08-27,XMRUSD,94.75,106.92,93.43,105.06,2807.45,276594.32
2018-08-26,XMRUSD,92.8,94.75,90.03,94.75,721.88,66510.93
2018-08-25,XMRUSD,93.71,96.24,91.95,92.8,712.95,66596.78
2018-08-24,XMRUSD,90.14,94.1,88.2,93.71,913.21,83000.01
2018-08-23,XMRUSD,89.8,91.2,88.2,90.14,1307.09,116645.09
2018-08-22,XMRUSD,94.5,99,87.88,89.8,4431.89,411415.01
2018-08-21,XMRUSD,92.08,96.32,91.72,94.5,3303.96,307152.75
2018-08-20,XMRUSD,98.72,102.82,92.08,92.08,3051.12,300442.2
2018-08-19,XMRUSD,97.9,99,94.77,98.72,725.83,70514.1
2018-08-18,XMRUSD,99.71,104.84,94.77,97.9,3018.94,298118.09
2018-08-17,XMRUSD,90.56,101.35,90.56,99.71,1289.89,123510.8
2018-08-16,XMRUSD,89.72,92.86,88.36,90.56,2573.28,233287.39
2018-08-15,XMRUSD,83.93,94,83.93,89.72,2160.05,193725.35
2018-08-14,XMRUSD,88.12,88.12,76,83.93,9156.71,735300.68
2018-08-13,XMRUSD,92.5,97.16,87.37,88.12,1554.03,144205.49
2018-08-12,XMRUSD,90.08,90.08,90.08,90.08,0.0,0.0
2018-08-11,XMRUSD,90.69,92.43,88.41,90.08,859.24,77195.06
2018-08-10,XMRUSD,99.81,100.78,90.08,90.69,1366.09,131412.04
2018-08-09,XMRUSD,94.48,102.5,94.48,99.81,1068.22,105861.08
2018-08-08,XMRUSD,107.3,108.36,92.85,94.48,5790.84,576847.8
2018-08-07,XMRUSD,114.11,118.3,107.12,107.3,3930.48,438061.05
2018-08-06,XMRUSD,117,119.84,112.3,114.11,723.29,83197.84
2018-08-05,XMRUSD,114.16,117.99,111.5,117,1167.47,133551.24
2018-08-04,XMRUSD,120.54,121.26,113.49,114.16,2479.18,286303.97
2018-08-03,XMRUSD,121.8,122.63,115,120.54,2616.29,308422.02
2018-08-02,XMRUSD,128.57,130.29,120.39,121.8,738.79,93395.88
2018-08-01,XMRUSD,121.73,130.1,119.19,128.57,1722.4,212399.74
2018-07-31,XMRUSD,132.01,134.49,121.25,121.73,1598.26,198417.0
2018-07-30,XMRUSD,135,136.4,128.81,132.01,1439.37,190171.43
2018-07-29,XMRUSD,139.82,141.35,135,135,519.17,70990.24
2018-07-28,XMRUSD,141.55,141.97,138.08,139.82,1516.59,211224.08
2018-07-27,XMRUSD,136,142.84,135,141.55,839.23,115170.33
2018-07-26,XMRUSD,143.26,145.12,135.76,136,1747.41,246504.66
2018-07-25,XMRUSD,147.75,149.27,138.3,143.26,3101.38,440738.19
2018-07-24,XMRUSD,133.97,148.57,132.95,147.75,3651.45,513922.05
2018-07-23,XMRUSD,128.03,142.39,127.97,133.97,2972.66,404547.69
2018-07-22,XMRUSD,132.38,133.5,128,128.03,1205.3,157604.85
2018-07-21,XMRUSD,130.29,132.82,127,132.38,518.36,67337.93
2018-07-20,XMRUSD,139.74,140.14,128.48,130.29,5189.63,696571.95
2018-07-19,XMRUSD,139.55,143.66,137.88,139.74,658.19,92232.7
2018-07-18,XMRUSD,143.23,149.53,137.88,139.55,1878.41,270323.77
2018-07-17,XMRUSD,135.16,148.35,134.44,143.23,8546.14,1196462.64
2018-07-16,XMRUSD,123.89,135.46,122.47,135.16,2578.12,332428.83
2018-07-15,XMRUSD,122.49,126.5,120.69,123.89,1374.15,170998.72
2018-07-14,XMRUSD,122.06,124,120.31,122.49,561.03,68374.01
2018-07-13,XMRUSD,120.77,124.92,118.73,122.06,1899.94,232755.07
2018-07-12,XMRUSD,124.39,125.79,116.95,120.77,2834.84,340644.79
2018-07-11,XMRUSD,120.33,129.98,120.33,124.39,2008.59,251764.81
2018-07-10,XMRUSD,135.58,136.79,120.33,120.33,3342.65,420672.67
2018-07-09,XMRUSD,137.18,141.03,134.51,135.58,3395.27,473163.91
2018-07-08,XMRUSD,134.65,139,133.36,137.18,2976.01,409466.68
2018-07-07,XMRUSD,133.54,134.96,129.7,134.65,1043.19,137849.7
2018-07-06,XMRUSD,138.59,138.9,130.18,133.54,1691.11,226789.01
2018-07-05,XMRUSD,138.92,141.17,133.68,138.59,3144.18,431924.12
2018-07-04,XMRUSD,138,146.11,136.61,138.92,2627.12,373134.88
2018-07-03,XMRUSD,140.44,144.29,136.27,138,2464.61,344942.61
2018-07-02,XMRUSD,129.85,143.16,127.6,140.44,4433.41,612294.63
2018-07-01,XMRUSD,130.84,134,125.47,129.85,1934.02,249889.91
2018-06-30,XMRUSD,126.25,135.23,126.25,130.84,4326.0,564001.63
2018-06-29,XMRUSD,117.31,128.07,114.5,126.25,5104.68,613926.37
2018-06-28,XMRUSD,128.59,134.4,114.48,117.31,4715.37,594890.27
2018-06-27,XMRUSD,120,130.49,119,128.59,3145.67,397097.93
2018-06-26,XMRUSD,126.11,130.1,120,120,3923.17,487631.71
2018-06-25,XMRUSD,121.51,129.72,120.51,126.11,2907.21,369319.66
2018-06-24,XMRUSD,115,124.78,107,121.51,8738.29,995799.3
2018-06-23,XMRUSD,109.75,119.12,108.66,115,2860.23,331751.61
2018-06-22,XMRUSD,123.05,123.92,106.16,109.75,8943.66,982840.58
2018-06-21,XMRUSD,122.32,124.5,121.2,123.05,450.48,55520.8
2018-06-20,XMRUSD,125.95,125.95,119.32,122.32,2304.22,281221.92
2018-06-19,XMRUSD,126.47,130.32,123.79,125.95,2122.5,270456.13
2018-06-18,XMRUSD,123.29,129.99,119.24,126.47,3301.13,417419.25
2018-06-17,XMRUSD,126.53,126.83,122.89,123.29,145.07,18056.77
2018-06-16,XMRUSD,121.8,128.12,120,126.53,671.11,83055.7
2018-06-15,XMRUSD,133,133.66,121.8,121.8,2820.27,360683.28
2018-06-14,XMRUSD,121.07,134.4,117.34,133,5525.74,715529.62
2018-06-13,XMRUSD,125.1,126.26,112.71,121.07,4648.4,552482.21
2018-06-12,XMRUSD,137.71,137.88,119.5,125.1,6055.66,760360.35
