Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume BTC
2018-06-17,XMRBTC,0.01945,0.01956,0.01884,0.01905,9602.32,183.56
2018-06-16,XMRBTC,0.01907,0.01983,0.0188,0.01945,10006.08,193.32
2018-06-15,XMRBTC,0.01997,0.02029,0.01897,0.01907,13639.32,266.18
2018-06-14,XMRBTC,0.0193,0.02058,0.01869,0.01997,24523.8,486.92
2018-06-13,XMRBTC,0.0191,0.0194,0.018,0.0193,28720.1,533.81
2018-06-12,XMRBTC,0.02002,0.02019,0.01845,0.0191,25158.8,484.12
2018-06-11,XMRBTC,0.02059,0.02075,0.0195,0.02002,17169.21,344.89
2018-06-10,XMRBTC,0.02059,0.02065,0.01944,0.02059,20606.44,412.34
2018-06-09,XMRBTC,0.02074,0.02089,0.0205,0.02059,4307.79,89.16
2018-06-08,XMRBTC,0.0212,0.0216,0.02065,0.02074,17169.87,360.1
2018-06-07,XMRBTC,0.02144,0.0222,0.02116,0.0212,15591.75,336.26
2018-06-06,XMRBTC,0.02192,0.02202,0.02139,0.02144,11895.09,257.99
2018-06-05,XMRBTC,0.02133,0.0222,0.02113,0.02192,13345.18,290.18
2018-06-04,XMRBTC,0.0219,0.0221,0.02095,0.02133,14673.08,314.28
2018-06-03,XMRBTC,0.0212,0.02293,0.0212,0.0219,18565.81,412.13
2018-06-02,XMRBTC,0.02093,0.02192,0.02083,0.0212,13809.72,295.06
2018-06-01,XMRBTC,0.02073,0.02106,0.02049,0.02093,8951.61,185.68
2018-05-31,XMRBTC,0.02092,0.02115,0.0206,0.02073,12009.74,250.45
2018-05-30,XMRBTC,0.02105,0.02137,0.02081,0.02092,9187.32,193.79
2018-05-29,XMRBTC,0.02101,0.02241,0.0207,0.02105,22878.83,486.87
2018-05-28,XMRBTC,0.02263,0.02281,0.02096,0.02101,14467.16,315.88
2018-05-27,XMRBTC,0.02247,0.0232,0.02204,0.02263,17055.69,386.23
2018-05-26,XMRBTC,0.02199,0.02247,0.02191,0.02247,6876.1,152.19
2018-05-25,XMRBTC,0.02265,0.0228,0.02194,0.02199,8872.07,197.87
2018-05-24,XMRBTC,0.02274,0.0233,0.0219,0.02265,13512.72,305.27
2018-05-23,XMRBTC,0.02192,0.02321,0.02167,0.02274,22046.56,492.23
2018-05-22,XMRBTC,0.02363,0.02368,0.02172,0.02192,18491.78,414.8
2018-05-21,XMRBTC,0.02388,0.02389,0.02317,0.02363,9894.82,232.34
2018-05-20,XMRBTC,0.024,0.02413,0.0238,0.02388,6439.84,153.96
2018-05-19,XMRBTC,0.02475,0.02484,0.0239,0.024,9852.6,239.41
2018-05-18,XMRBTC,0.02367,0.0257,0.0232,0.02475,23146.96,555.46
2018-05-17,XMRBTC,0.0238,0.02433,0.02357,0.02367,9191.89,221.06
2018-05-16,XMRBTC,0.02397,0.02413,0.02353,0.0238,9201.36,218.76
2018-05-15,XMRBTC,0.02455,0.025,0.0238,0.02397,11429.03,279.75
2018-05-14,XMRBTC,0.02389,0.0248,0.02352,0.02455,13238.1,320.44
2018-05-13,XMRBTC,0.02372,0.02456,0.0237,0.02389,7601.18,184.04
2018-05-12,XMRBTC,0.02342,0.02397,0.02312,0.02372,9700.39,228.75
2018-05-11,XMRBTC,0.024,0.0241,0.02302,0.02342,13898.17,327.29
2018-05-10,XMRBTC,0.02429,0.02499,0.024,0.024,10767.18,263.78
2018-05-09,XMRBTC,0.02434,0.0251,0.02393,0.02429,8209.06,200.22
2018-05-08,XMRBTC,0.02489,0.02498,0.02406,0.02434,10335.5,252.94
2018-05-07,XMRBTC,0.02447,0.0251,0.02399,0.02489,13594.97,330.98
2018-05-06,XMRBTC,0.0245,0.02536,0.0243,0.02447,10476.06,258.02
2018-05-05,XMRBTC,0.02494,0.02579,0.0245,0.0245,18615.68,467.4
2018-05-04,XMRBTC,0.02517,0.0258,0.02473,0.02494,16004.88,403.19
2018-05-03,XMRBTC,0.02691,0.02699,0.02502,0.02517,21092.42,550.19
2018-05-02,XMRBTC,0.02629,0.0275,0.02628,0.02691,14580.16,392.6
2018-05-01,XMRBTC,0.02606,0.02669,0.02562,0.02629,11167.35,291.01
2018-04-30,XMRBTC,0.02714,0.0276,0.0259,0.02606,21529.3,570.55
2018-04-29,XMRBTC,0.02787,0.02794,0.02632,0.02714,20895.08,562.49
2018-04-28,XMRBTC,0.02805,0.0284,0.0273,0.02787,13009.55,360.38
2018-04-27,XMRBTC,0.0289,0.029,0.02756,0.02805,17479.69,493.04
2018-04-26,XMRBTC,0.0288,0.0315,0.02838,0.0289,27396.72,811.63
2018-04-25,XMRBTC,0.03024,0.03029,0.0272,0.0288,44756.94,1294.63
2018-04-24,XMRBTC,0.03151,0.032,0.03,0.03024,21631.65,673.92
2018-04-23,XMRBTC,0.03054,0.03198,0.03052,0.03151,20435.93,641.86
2018-04-22,XMRBTC,0.02863,0.03178,0.02808,0.03054,34206.65,1041.44
2018-04-21,XMRBTC,0.03056,0.0307,0.02765,0.02863,23064.31,668.75
2018-04-20,XMRBTC,0.02859,0.0307,0.02856,0.03056,33068.29,975.84
2018-04-19,XMRBTC,0.02801,0.02897,0.02749,0.02859,17146.4,484.67
2018-04-18,XMRBTC,0.0247,0.02905,0.0247,0.02801,41900.0,1153.97
2018-04-17,XMRBTC,0.02406,0.02497,0.02399,0.0247,13774.51,338.28
2018-04-16,XMRBTC,0.02409,0.0243,0.02378,0.02406,7525.56,180.68
2018-04-15,XMRBTC,0.0238,0.02449,0.0237,0.02409,7755.54,186.43
2018-04-14,XMRBTC,0.02388,0.02425,0.0237,0.0238,5701.77,136.42
2018-04-13,XMRBTC,0.02435,0.0246,0.0238,0.02388,14374.33,347.79
2018-04-12,XMRBTC,0.02426,0.02487,0.02378,0.02435,22522.11,546.88
2018-04-11,XMRBTC,0.0241,0.02434,0.0237,0.02426,16528.87,396.8
2018-04-10,XMRBTC,0.02451,0.0246,0.02403,0.0241,10690.21,258.44
2018-04-09,XMRBTC,0.02465,0.0251,0.02443,0.02451,4708.97,116.37
2018-04-08,XMRBTC,0.02455,0.02478,0.02403,0.02465,4257.55,103.43
2018-04-07,XMRBTC,0.02442,0.02482,0.02429,0.02455,3566.98,87.54
2018-04-06,XMRBTC,0.02544,0.026,0.0244,0.02442,16489.14,416.55
2018-04-05,XMRBTC,0.02481,0.02571,0.0248,0.02544,6100.55,154.29
2018-04-04,XMRBTC,0.02544,0.02548,0.0248,0.02481,7142.25,179.21
2018-04-03,XMRBTC,0.02498,0.02548,0.0247,0.02544,8879.14,223.2
2018-04-02,XMRBTC,0.02559,0.02577,0.0249,0.02498,9122.58,230.7
2018-04-01,XMRBTC,0.02563,0.026,0.02515,0.02559,10661.68,272.56
2018-03-31,XMRBTC,0.02509,0.0258,0.0249,0.02563,10746.88,271.13
2018-03-30,XMRBTC,0.0247,0.02531,0.024,0.02509,25432.88,627.12
2018-03-29,XMRBTC,0.02504,0.0253,0.02448,0.0247,14950.11,370.27
2018-03-28,XMRBTC,0.024,0.02523,0.02386,0.02504,9537.95,233.82
2018-03-27,XMRBTC,0.02395,0.02429,0.0231,0.024,21131.88,502.11
2018-03-26,XMRBTC,0.02488,0.02498,0.0238,0.02395,10832.8,261.27
2018-03-25,XMRBTC,0.0242,0.0249,0.02382,0.02488,9317.53,226.6
2018-03-24,XMRBTC,0.0241,0.02432,0.02388,0.0242,6899.4,166.03
2018-03-23,XMRBTC,0.0242,0.0252,0.02364,0.0241,12197.34,296.57
2018-03-22,XMRBTC,0.02443,0.02472,0.02388,0.0242,8836.9,214.19
2018-03-21,XMRBTC,0.02502,0.02596,0.0242,0.02443,17880.44,446.78
2018-03-20,XMRBTC,0.02521,0.02582,0.0246,0.02502,10845.46,272.93
2018-03-19,XMRBTC,0.02542,0.0259,0.02462,0.02521,16866.13,426.79
2018-03-18,XMRBTC,0.02492,0.0255,0.0234,0.02542,28815.51,700.45
2018-03-17,XMRBTC,0.02586,0.02608,0.0247,0.02492,13869.6,347.98
2018-03-16,XMRBTC,0.02568,0.026,0.02493,0.02586,15701.0,397.97
